,Date,Depth (m),Temp,O2 (mg/l),O2 (%),Density,DO_calc_fromsat,DO_diff_between_calc_obs
1488,1999-08-25,5.0,17.5,9.7,100,998.6886201955786,9.566990899348651,-0.13300910065134808
1489,1999-08-25,6.0,17.4,9.7,101,998.7064959526148,9.682717765538019,-0.017282234461980295
1490,1999-08-25,7.0,17.3,9.6,100,998.7242605724059,9.606780336281192,0.006780336281192234
1491,1999-08-25,8.0,17.2,9.4,97,998.7419138022879,9.337980937313956,-0.06201906268604418
1492,1999-08-25,9.0,17.2,9.4,98,998.7419138022879,9.434248782028535,0.03424878202853421
1493,1999-08-25,10.0,17.2,9.2,97,998.7419138022879,9.337980937313956,0.1379809373139569
1494,1999-08-25,11.0,17.2,9.3,97,998.7419138022879,9.337980937313956,0.037980937313955465
1495,1999-08-25,12.0,17.2,9.2,96,998.7419138022879,9.24171309259938,0.041713092599380275
1496,1999-08-25,13.0,17.2,9.3,96,998.7419138022879,9.24171309259938,-0.058286907400621146
1497,1999-08-25,14.0,16.9,7.6,78,998.7942026058168,7.556046547530048,-0.043953452469951415
1498,1999-08-25,15.0,15.5,0.6,6,999.0247246507914,0.5987050568694724,-0.0012949431305275816
1499,1999-08-25,16.0,15.2,0.4,4,999.0711853635676,0.4017129579376648,0.001712957937664794
1500,1999-08-25,17.0,14.9,0.3,3,999.116592928217,0.30323897522037324,0.0032389752203732525
1501,1999-08-25,18.0,14.7,0.3,3,999.1462757570603,0.3045542511812158,0.004554251181215829
1502,1999-08-25,19.0,14.6,0.3,3,999.1609396422989,0.3052156614744876,0.005215661474487598
1503,1999-08-25,20.0,14.5,0.3,2,999.1754847867787,0.203919736692038,-0.09608026330796199
1504,1999-09-01,0.0,17.1,9.1,94,998.7594553882647,9.06805033888889,-0.03194966111110986
1505,1999-09-01,1.0,17.1,9.1,95,998.7594553882647,9.164518959515368,0.06451895951536812
1506,1999-09-01,2.0,17.2,9.1,95,998.7419138022879,9.145445247884803,0.04544524788480331
1507,1999-09-01,3.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1508,1999-09-01,4.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1509,1999-09-01,5.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1510,1999-09-01,6.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1511,1999-09-01,7.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1512,1999-09-01,8.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1513,1999-09-01,9.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1514,1999-09-01,10.0,17.2,9.2,95,998.7419138022879,9.145445247884803,-0.05455475211519634
1515,1999-09-01,11.0,17.2,9.1,95,998.7419138022879,9.145445247884803,0.04544524788480331
1516,1999-09-01,12.0,17.1,8.5,85,998.7594553882647,8.199832753250591,-0.30016724674940853
1517,1999-09-01,13.0,17.0,7.6,79,998.7768850750015,7.63694066246796,0.03694066246796002
1518,1999-09-01,14.0,16.9,7.3,75,998.7942026058168,7.2654293726250465,-0.03457062737495331
1519,1999-09-01,15.0,16.6,5,52,998.8454796755482,5.069150057561051,0.06915005756105064
1520,1999-09-01,16.0,15.4,0.6,6,999.0403281010568,0.5999883239793035,-1.1676020696516076e-05
1521,1999-09-01,17.0,15.0,0.5,5,999.1015745627374,0.5043084703405448,0.004308470340544823
1522,1999-09-01,18.0,14.6,0.4,4,999.1609396422989,0.4069542152993168,0.006954215299316779
1523,1999-09-01,19.0,14.5,0.4,4,999.1754847867787,0.407839473384076,0.007839473384075979
1524,1999-09-01,20.0,14.4,0.4,4,999.1899108975952,0.4087281277220978,0.0087281277220978
1525,1999-09-08,0.0,17.9,9.6,101,998.6160108021168,9.58315952955859,-0.01684047044141046
1526,1999-09-08,1.0,17.8,9.5,101,998.6343286078396,9.602926622219458,0.10292662221945825
1527,1999-09-08,2.0,17.8,9.6,101,998.6343286078396,9.602926622219458,0.002926622219458608
1528,1999-09-08,3.0,17.8,9.6,100,998.6343286078396,9.507848140811344,-0.09215185918865565
1529,1999-09-08,4.0,17.8,9.6,101,998.6343286078396,9.602926622219458,0.002926622219458608
1530,1999-09-08,5.0,17.8,9.6,101,998.6343286078396,9.602926622219458,0.002926622219458608
1531,1999-09-08,6.0,17.8,9.5,100,998.6343286078396,9.507848140811344,0.007848140811343995
1532,1999-09-08,7.0,17.7,9.6,99,998.6525362738194,9.432215801523567,-0.16778419847643278
1533,1999-09-08,8.0,17.7,9.4,98,998.6525362738194,9.33694089443747,-0.06305910556253025
1534,1999-09-08,9.0,17.6,9.3,97,998.6706335526382,9.260788691689566,-0.039211308310434845
1535,1999-09-08,10.0,17.6,9.2,95,998.6706335526382,9.069844594953699,-0.13015540504630074
1536,1999-09-08,11.0,17.5,8.8,90,998.6886201955786,8.610291809413786,-0.1897081905862148
1537,1999-09-08,12.0,17.4,8.4,86,998.7064959526148,8.24469037461653,-0.15530962538347026
1538,1999-09-08,13.0,17.4,8.2,85,998.7064959526148,8.14882188188843,-0.05117811811156869
1539,1999-09-08,14.0,17.3,8,,998.7242605724059,,
1540,1999-09-08,15.0,17.3,7.7,79,998.7242605724059,7.589356465662142,-0.11064353433785801
1541,1999-09-08,16.0,17.3,7.5,77,998.7242605724059,7.397220858936518,-0.10277914106348174
1542,1999-09-08,17.0,17.2,7.4,77,998.7419138022879,7.4126240430224195,0.012624043022419151
1543,1999-09-08,18.0,17.2,7.4,76,998.7419138022879,7.316356198307843,-0.08364380169215746
1544,1999-09-08,19.0,17.2,7.3,76,998.7419138022879,7.316356198307843,0.016356198307843073
1545,1999-09-08,20.0,16.8,1.7,20,998.8114077226744,1.9415078910088388,0.24150789100883885
1546,1999-09-15,0.0,17.3,8.4,88,998.7242605724059,8.453966695927448,0.05396669592744807
1547,1999-09-15,1.0,17.1,8.2,84,998.7594553882647,8.103364132624115,-0.09663586737588403
1548,1999-09-15,2.0,17.1,8,82,998.7594553882647,7.910426891371159,-0.08957310862884071
1549,1999-09-15,3.0,17.1,7.8,81,998.7594553882647,7.813958270744683,0.013958270744683254
1550,1999-09-15,4.0,17.1,7.8,80,998.7594553882647,7.717489650118205,-0.08251034988179473
1551,1999-09-15,5.0,17.1,8,83,998.7594553882647,8.006895511997637,0.006895511997637271
1552,1999-09-15,6.0,17.1,7.6,78,998.7594553882647,7.52455240886525,-0.07544759113474964
1553,1999-09-15,7.0,17.1,7.7,80,998.7594553882647,7.717489650118205,0.017489650118204914
1554,1999-09-15,8.0,17.1,8.1,84,998.7594553882647,8.103364132624115,0.003364132624115612
1555,1999-09-15,9.0,17.1,8,82,998.7594553882647,7.910426891371159,-0.08957310862884071
1556,1999-09-15,10.0,17.0,8,83,998.7768850750015,8.023621202339754,0.023621202339754177
1557,1999-09-15,11.0,17.0,7.7,79,998.7768850750015,7.63694066246796,-0.06305933753204052
1558,1999-09-15,12.0,17.0,7.8,80,998.7768850750015,7.733610797435908,-0.06638920256409175
1559,1999-09-15,13.0,17.0,8.1,84,998.7768850750015,8.120291337307703,0.020291337307703827
1560,1999-09-15,14.0,17.0,8.2,85,998.7768850750015,8.216961472275653,0.016961472275653477
1561,1999-09-15,15.0,17.0,8.2,85,998.7768850750015,8.216961472275653,0.016961472275653477
1562,1999-09-15,16.0,17.0,8.2,85,998.7768850750015,8.216961472275653,0.016961472275653477
1563,1999-09-15,17.0,17.0,8.3,85,998.7768850750015,8.216961472275653,-0.08303852772434794
1564,1999-09-15,18.0,17.0,8.3,86,998.7768850750015,8.3136316072436,0.013631607243599575
1565,1999-09-15,19.0,17.0,7.7,80,998.7768850750015,7.733610797435908,0.03361079743590789
1566,1999-09-15,20.0,16.7,2.4,24,998.8285001661746,2.3346995439386333,-0.06530045606136659
1567,2000-05-03,0.0,7.7,18,149,999.8684382777473,17.772534112100974,-0.2274658878990259
1568,2000-05-03,1.0,7.6,18,149,999.8739908587944,17.816178780570603,-0.18382121942939733
1569,2000-05-03,2.0,7.6,17.5,145,999.8739908587944,17.337892101897566,-0.16210789810243398
1570,2000-05-03,3.0,7.6,17.1,141,999.8739908587944,16.85960542322453,-0.24039457677547205
1571,2000-05-03,4.0,7.6,16.7,140,999.8739908587944,16.74003375355627,0.04003375355626915
1572,2000-05-03,5.0,7.5,16.1,135,999.8794000210424,16.181890540850578,0.08189054085057634
1573,2000-05-03,6.0,7.5,16,133,999.8794000210424,15.942158829134275,-0.057841170865724933
1574,2000-05-03,7.0,7.5,16,133,999.8794000210424,15.942158829134275,-0.057841170865724933
